project,issue_key,category,resolved,type,url,lead_time_hours,week
Reconciliation,RECON-1036,"Unplanned (Bug, Incident, Inquiry)",2025-01-08T09:06:29.078000-08:00,Bug,https://shippo.atlassian.net/rest/api/2/issue/136072,45.91210472222222,2025-01-12
Label Refund Manifest,LABEL-2324,Technical Investment (Tech Inv),2025-01-24T09:09:07.097000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/137712,,2025-01-26
Rating,RATE-1535,Technical Investment (Tech Inv),2025-01-23T07:57:29.467000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/136759,308.27171694444445,2025-01-26
Address-Tracking,ATP-2339,Team Management (TM),2025-01-10T09:13:23.501000-08:00,Story,https://shippo.atlassian.net/rest/api/2/issue/135711,169.6787263888889,2025-01-12
Rating,RATE-1578,Carrier Compliance (Cc),2025-01-17T13:31:09.254000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/137285,21.591116666666668,2025-01-19
Rating,RATE-1501,Carrier Compliance (Cc),2025-01-16T17:48:16.568000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/136395,216.46110555555555,2025-01-19
Label Refund Manifest,LABEL-1997,"Unplanned (Bug, Incident, Inquiry)",2024-12-31T04:58:15-08:00,Bug,https://shippo.atlassian.net/rest/api/2/issue/134737,291.30162027777783,2025-01-05
Label Refund Manifest,LABEL-2160,"Unplanned (Bug, Incident, Inquiry)",2025-01-05T21:45:44.691000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/136076,,2025-01-12
Rating,RATE-1506,Carrier Compliance (Cc),2025-01-17T13:51:58.601000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/136446,194.0037311111111,2025-01-19
Address-Tracking,ATP-2327,"Unplanned (Bug, Incident, Inquiry)",2025-01-21T11:36:09.430000-08:00,Bug,https://shippo.atlassian.net/rest/api/2/issue/135457,695.9121200000001,2025-01-26
Address-Tracking,ATP-2341,Team Management (TM),2025-01-10T09:13:43.663000-08:00,Story,https://shippo.atlassian.net/rest/api/2/issue/135713,169.68337055555554,2025-01-12
Reconciliation,RECON-1099,Team Management (TM),2025-01-23T09:08:22.765000-08:00,Story,https://shippo.atlassian.net/rest/api/2/issue/137825,,2025-01-26
Rating,RATE-1492,Carrier Compliance (Cc),2025-01-16T16:50:04-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/136327,208.66995194444445,2025-01-19
Address-Tracking,ATP-2306,Technical Investment (Tech Inv),2025-01-10T08:03:21.752000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/134883,41.13749472222222,2025-01-12
Rating,RATE-1509,Carrier Compliance (Cc),2025-01-17T12:32:58.799000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/136449,212.64207222222223,2025-01-19
Rating,RATE-1529,Carrier Compliance (Cc),2025-01-17T13:30:13.717000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/136730,93.65940444444445,2025-01-19
Label Refund Manifest,LABEL-2060,Level of Effort (LoE),2025-01-06T04:03:03.222000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/135303,143.68179999999998,2025-01-12
Label Refund Manifest,LABEL-1990,"Unplanned (Bug, Incident, Inquiry)",2025-01-02T04:51:42.105000-08:00,Bug,https://shippo.atlassian.net/rest/api/2/issue/134617,232.5782313888889,2025-01-05
Label Refund Manifest,LABEL-1923,Carrier Compliance (Cc),2025-01-15T08:56:39.511000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/134036,820.8436572222223,2025-01-19
Address-Tracking,ATP-2358,"Unplanned (Bug, Incident, Inquiry)",2025-01-10T03:26:09.490000-08:00,Bug,https://shippo.atlassian.net/rest/api/2/issue/136537,15.424191944444445,2025-01-12
Core Enablement,CET-437,Technical Investment (Tech Inv),2025-01-10T05:37:56.506000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/133870,70.6017761111111,2025-01-12
Rating,RATE-1327,Team Management (TM),2025-01-21T14:00:31.578000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/134356,0.009199722222222222,2025-01-26
Carrier Configurations,CFG-966,Technical Investment (Tech Inv),2025-01-02T06:22:24.127000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/135488,311.8767575,2025-01-05
Core Enablement,CET-510,Technical Investment (Tech Inv),2025-01-23T16:40:27.249000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/136498,249.695245,2025-01-26
Carrier Configurations,CFG-984,"Unplanned (Bug, Incident, Inquiry)",2025-01-15T13:00:06.549000-08:00,Bug,https://shippo.atlassian.net/rest/api/2/issue/136136,196.97054083333336,2025-01-19
Core Enablement,CET-481,Technical Investment (Tech Inv),2025-01-10T05:31:18.261000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/135686,186.3443163888889,2025-01-12
Rating,RATE-1036,"Unplanned (Bug, Incident, Inquiry)",2025-01-07T06:40:25.565000-08:00,Bug,https://shippo.atlassian.net/rest/api/2/issue/130668,1260.685953888889,2025-01-12
Rating,RATE-1440,Team Management (TM),2025-01-21T13:12:30.762000-08:00,Story,https://shippo.atlassian.net/rest/api/2/issue/135790,670.1644247222222,2025-01-26
Address-Tracking,ATP-2336,Carrier Compliance (Cc),2025-01-13T10:07:07.840000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/135674,478.6463913888889,2025-01-19
Address-Tracking,ATP-2305,Partner Commitment (Pc),2025-01-10T08:26:20.227000-08:00,Story,https://shippo.atlassian.net/rest/api/2/issue/134846,531.2509311111111,2025-01-12
Rating,RATE-1457,Carrier Compliance (Cc),2025-01-03T16:33:01.166000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/136010,,2025-01-05
Address-Tracking,ATP-2340,Team Management (TM),2025-01-03T07:34:53.510000-08:00,Story,https://shippo.atlassian.net/rest/api/2/issue/135712,22.13266722222222,2025-01-05
Carrier Configurations,CFG-991,"Unplanned (Bug, Incident, Inquiry)",2025-01-23T08:43:37.814000-08:00,Bug,https://shippo.atlassian.net/rest/api/2/issue/136330,361.6704625,2025-01-26
Rating,RATE-1531,Carrier Compliance (Cc),2025-01-17T15:34:15.562000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/136734,169.8187775,2025-01-19
Core Enablement,CET-483,Technical Investment (Tech Inv),2025-01-10T05:36:32.206000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/136033,162.64662388888888,2025-01-12
Address-Tracking,ATP-2356,Team Management (TM),2025-01-17T09:32:48.007000-08:00,Story,https://shippo.atlassian.net/rest/api/2/issue/136456,163.69256916666666,2025-01-19
Reconciliation,RECON-1048,Technical Investment (Tech Inv),2025-01-16T12:49:47.120000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/136401,147.87791055555556,2025-01-19
Address-Tracking,ATP-2348,Technical Investment (Tech Inv),2025-01-09T05:21:56.045000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/135787,375.52378194444447,2025-01-12
Carrier Configurations,CFG-968,Technical Investment (Tech Inv),2025-01-13T06:35:24.502000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/135491,477.2193130555556,2025-01-19
Reconciliation,RECON-1088,"Unplanned (Bug, Incident, Inquiry)",2025-01-16T15:03:40.706000-08:00,Bug,https://shippo.atlassian.net/rest/api/2/issue/137273,1.1126183333333333,2025-01-19
Reconciliation,RECON-1095,"Unplanned (Bug, Incident, Inquiry)",2025-01-21T12:04:35.499000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/137572,,2025-01-26
Rating,RATE-649,Carrier Compliance (Cc),2025-01-24T06:35:50.869000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/119943,432.1028338888889,2025-01-26
Rating,RATE-1394,"Unplanned (Bug, Incident, Inquiry)",2025-01-10T10:48:21.863000-08:00,Bug,https://shippo.atlassian.net/rest/api/2/issue/135184,570.7436258333333,2025-01-12
Rating,RATE-1542,"Unplanned (Bug, Incident, Inquiry)",2025-01-22T07:45:37.258000-08:00,Bug,https://shippo.atlassian.net/rest/api/2/issue/136866,213.35594583333335,2025-01-26
Label Refund Manifest,LABEL-2195,Carrier Compliance (Cc),2025-01-22T09:13:00.769000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/136464,,2025-01-26
Rating,RATE-1589,Technical Investment (Tech Inv),2025-01-23T10:47:49.961000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/137571,24.76182277777778,2025-01-26
Reconciliation,RECON-1029,"Unplanned (Bug, Incident, Inquiry)",2025-01-07T09:04:51.924000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/135705,119.8023825,2025-01-12
Rating,RATE-1475,Carrier Compliance (Cc),2025-01-17T16:06:35.917000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/136217,265.3089366666667,2025-01-19
Address-Tracking,ATP-2353,Technical Investment (Tech Inv),2025-01-21T11:24:17.583000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/136438,290.9585705555556,2025-01-26
Carrier Configurations,CFG-883,Carrier Compliance (Cc),2025-01-08T06:48:33.496000-08:00,Story,https://shippo.atlassian.net/rest/api/2/issue/133767,120.66354833333332,2025-01-12
Rating,RATE-1495,Carrier Compliance (Cc),2025-01-16T17:13:06.085000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/136332,201.63166083333334,2025-01-19
Address-Tracking,ATP-2049,Carrier Compliance (Cc),2025-01-10T03:18:52.016000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/130548,166.0175761111111,2025-01-12
Rating,RATE-1400,Level of Effort (LoE),2025-01-09T05:30:59.492000-08:00,Task,https://shippo.atlassian.net/rest/api/2/issue/135272,160.08653805555556,2025-01-12
